Frame Rate:,29.9700299700
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,129.29108796296296,124.99641927083333,7.939860026041667,254.93698459201389
2,00:00:00.067,2.8818449797453702,2.5397406684027777,6.053792317708333,0.052001953125
3,00:00:00.100,3.738887080439815,2.539089626736111,8.625108506944445,0.05246310763888889
4,00:00:00.133,2.1066804108796293,0.2169867621527778,6.086751302083333,0.016303168402777776
5,00:00:00.167,3.181577329282407,1.0869140625,8.445610894097221,0.01220703125
6,00:00:00.200,1.8253128616898147,0.22623697916666666,5.237386067708333,0.012315538194444444
7,00:00:00.234,3.155978732638889,0.9508734809027778,8.509629991319445,0.007432725694444444
8,00:00:00.267,3.1177842881944446,1.7913140190972223,7.553765190972222,0.008273654513888888
9,00:00:00.300,3.0963993778935186,0.9685601128472222,8.306477864583334,0.01416015625
10,00:00:00.334,2.074887876157407,0.14241536458333334,6.077175564236111,0.005072699652777778
11,00:00:00.367,3.115171079282407,0.9258626302083334,8.410291883680555,0.009358723958333334
12,00:00:00.400,2.288836443865741,0.8930392795138888,5.966552734375,0.006917317708333333
13,00:00:00.434,3.1345305266203702,0.9689127604166666,8.428032769097221,0.006646050347222222
14,00:00:00.467,2.202880859375,0.9592013888888888,5.633056640625,0.016384548611111112
15,00:00:00.501,3.7853913483796298,1.0738932291666667,10.273844401041666,0.008436414930555556
16,00:00:00.534,1.7811234085648149,0.19417317708333334,5.145263671875,0.003933376736111111
17,00:00:00.567,2.9965368200231484,0.9998643663194444,7.983642578125,0.006103515625
18,00:00:00.601,2.534315321180556,0.9220106336805556,6.670952690972222,0.009982638888888888
19,00:00:00.634,2.806025752314815,0.9152289496527778,7.492078993055555,0.010769314236111112
20,00:00:00.667,2.8379448784722228,0.9775661892361112,7.526774088541667,0.009494357638888888
21,00:00:00.701,2.614483868634259,0.20252821180555555,7.626871744791667,0.014051649305555556
22,00:00:00.734,2.5783329716435186,0.201416015625,7.520914713541667,0.012668185763888888
23,00:00:00.767,2.8224645543981484,0.20328776041666666,8.256429036458334,0.007676866319444444
24,00:00:00.801,2.3274558738425926,0.20499674479166666,6.76513671875,0.012234157986111112
25,00:00:00.834,2.626356336805556,0.23350694444444445,7.631510416666667,0.014051649305555556
26,00:00:00.868,2.0814706307870368,0.2544759114583333,5.973090277777778,0.016845703125
27,00:00:00.901,2.656277126736111,0.3174641927083333,7.617377387152778,0.033989800347222224
28,00:00:00.934,2.6089500144675926,0.7459852430555556,7.016845703125,0.06401909722222222
29,00:00:00.968,3.5625904224537037,3.107449001736111,7.396755642361111,0.1835666232638889
30,00:00:01.001,5.2884747540509265,7.118381076388889,8.421956380208334,0.3250868055555556
31,00:00:01.034,0.8559660734953703,1.5595703125,0.7022026909722222,0.3061252170138889
32,00:00:01.068,0.8294542100694445,1.6370442708333333,0.5606011284722222,0.2907172309027778
33,00:00:01.101,0.596652560763889,1.0658365885416667,0.4842393663194444,0.23988172743055555
34,00:00:01.134,0.7892614293981483,1.4319932725694444,0.6199544270833334,0.3158365885416667
35,00:00:01.168,0.7424225983796297,1.4311794704861112,0.57861328125,0.2174750434027778
36,00:00:01.201,0.5888852719907408,1.0326334635416667,0.5203993055555556,0.213623046875
37,00:00:01.235,0.6520543981481483,1.1765679253472223,0.5952690972222222,0.184326171875
38,00:00:01.268,0.7469618055555557,1.4664713541666667,0.5498589409722222,0.2245551215277778
39,00:00:01.301,0.5732964409722222,0.92578125,0.5177951388888888,0.2763129340277778
40,00:00:01.335,0.7944788049768517,1.4156087239583333,0.65283203125,0.3149956597222222
41,00:00:01.368,0.7958622685185186,1.4749077690972223,0.6337076822916666,0.2789713541666667
42,00:00:01.401,0.5574182581018517,0.8544108072916666,0.5811360677083334,0.23670789930555555
43,00:00:01.435,0.6048448350694444,1.0023871527777777,0.60107421875,0.21107313368055555
44,00:00:01.468,0.7679307725694443,1.3694661458333333,0.6034884982638888,0.3308376736111111
45,00:00:01.502,0.5214753327546297,0.7813856336805556,0.5204806857638888,0.2625596788194444
46,00:00:01.535,0.7623878761574074,1.4130045572916667,0.589111328125,0.2850477430555556
47,00:00:01.568,0.6971390335648149,1.0434841579861112,0.6752387152777778,0.3726942274305556
48,00:00:01.602,0.8093985098379629,1.3592122395833333,0.624267578125,0.4447157118055556
49,00:00:01.635,0.639693648726852,1.0237901475694444,0.5288899739583334,0.3664008246527778
50,00:00:01.668,0.7114167390046297,1.0680338541666667,0.5609537760416666,0.5052625868055556
51,00:00:01.702,0.8214337384259259,1.5811360677083333,0.5846896701388888,0.2984754774305556
52,00:00:01.735,0.574924045138889,0.9422200520833334,0.4956325954861111,0.2869194878472222
53,00:00:01.768,0.8218044704861112,1.5598687065972223,0.5634494357638888,0.3420952690972222
